COMPANY_NAME,SECTOR_NAME,SYMBOL,OPEN_PRICE,CLOSE_PRICE,HIGH_PRICE,LOW_PRICE,TOTAL_TRADED_QUANTITY,BUSINESS_DATE
Nepal Investment Mega Bank Limited,Commercial Banks,NIMB,265,265,265,265,0,7/17/2022
NIC Asia Bank Ltd.,Commercial Banks,NICA,709.9,703,709.9,691,64978,7/17/2022
Machhapuchhre Bank Limited,Commercial Banks,MBL,249,248.7,249,239,39685,7/17/2022
Soaltee Hotel Limited,Hotels And Tourism,SHL,203,200.9,206,200.9,18328,7/17/2022
Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,Microfinance,NUBL,1085,1055.1,1085,1045,12297,7/17/2022
Janaki Finance Company Limited,Finance,JFL,365,368,380,365,6865,7/17/2022
ICFC Finance Limited,Finance,ICFC,447,448,459,446,15822,7/17/2022
Nepal Doorsanchar Company Limited,Others,NTC,879,863.9,879,860,51593,7/17/2022
Global IME Bank Limited,Commercial Banks,GBIME,251.4,251.4,251.4,251.4,0,7/17/2022
Citizens Bank International Limited,Commercial Banks,CZBIL,203.8,205,205.9,202.1,19661,7/17/2022
Mahalaxmi Bikas Bank Ltd.,Development Banks,MLBL,378,379,385,371,33891,7/17/2022
Garima Bikas Bank Limited,Development Banks,GBBL,380,387,392.5,380,23192,7/17/2022
SHINE RESUNGA DEVELOPMENT BANK LTD,Development Banks,SHINE,295,297.4,301,290,34213,7/17/2022
Muktinath Bikas Bank Ltd.,Development Banks,MNBBL,440,437,446,435,32165,7/17/2022
First Micro Finance Laghubitta Bittiya Sanstha Limited,Microfinance,FMDBL,655,655,676,648.5,13633,7/17/2022
Manjushree Finance Ltd.,Finance,MFIL,440,444,459,439,9156,7/17/2022
Sanima Mai Hydropower Limited,Hydro Power,SHPC,301,305.9,309,301,53108,7/17/2022
Ridi Power Company Limited,Hydro Power,RIDI,838,838,838,838,0,7/17/2022
Laxmi Laghubitta Bittiya Sanstha Ltd.,Microfinance,LLBS,1275,1275,1284,1256.1,2121,7/17/2022
Himalayan Laghubitta Bittiya Sanstha Limited,Microfinance,HLBSL,785,799.9,799.9,751,2495,7/17/2022
RSDC Laghubitta Bittiya Sanstha Ltd.,Microfinance,RSDC,565,555,576,544,2743,7/17/2022
Wean Nepal Laghubitta Bittiya Sanstha Limited,Microfinance,WNLB,951.2,932.2,951.2,932.2,45,7/17/2022
Nepal Investment Mega Bank Limited,Commercial Banks,NIMB,265,265,265,265,0,7/18/2022
NIC Asia Bank Ltd.,Commercial Banks,NICA,703,703,704,695,48670,7/18/2022
Machhapuchhre Bank Limited,Commercial Banks,MBL,249.7,247,249.7,244,20088,7/18/2022
Soaltee Hotel Limited,Hotels And Tourism,SHL,199.3,210.2,215.2,199.3,60667,7/18/2022
Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,Microfinance,NUBL,1040,1040,1045,1023,9139,7/18/2022
Janaki Finance Company Limited,Finance,JFL,365,375,380,363,9483,7/18/2022
ICFC Finance Limited,Finance,ICFC,449,455,457,440.3,17294,7/18/2022
Nepal Doorsanchar Company Limited,Others,NTC,870,879,879.9,856,46620,7/18/2022
